-0.0000   -0.0000   -1.0000    1.7986         0
 1.0000   -2.1273   -0.0000   -0.0000   -2.2727
-1.0000    1.4337   -0.0000   -0.0000   -2.5000
-1.0000   -2.3400         0         0   -2.5000
-1.0000         0         0         0         0
-1.0000   -1.3034         0         0    2.2727
-1.0000    2.1273   -0.0000   -0.0000    2.2727
 0.0000   -1.0000         0         0    0.0000
 1.0000   -1.4337   -0.0000   -0.0000    2.5000
 0.0000    0.0000   -1.0000   -2.3613         0
-0.0000   -0.0000    1.0000   -1.7986   -0.0000
-0.0000   -0.0000    1.0000    2.3613         0
 1.0000    1.3034   -0.0000   -0.0000   -2.2727
 0.0000    1.0000   -0.0000   -0.0000   -0.0000
 1.0000    2.3400   -0.0000   -0.0000    2.5000
 1.0000   -0.0000   -0.0000   -0.0000    0.0000
